1.000000000000000000e+06 8.412100631951378915e+00 -2.129671220673246879e+00 -2.535832731830543807e+00 2.148729734911110079e-01 1.447255331027395104e-03 1.447255331027395187e+03 3.332428550979843294e+03 1.499487792189091351e+03 6.200070669068708038e+10 2.506359130931293488e+10 8.736799217644533599e-02
1.122018454301962862e+06 8.337445176516514067e+00 -2.120756835689869835e+00 -2.535043666915679061e+00 2.152303728247409731e-01 1.153465416115668617e-03 1.294209483280872973e+03 2.980027463414065096e+03 1.341676391829244267e+03 6.183380483170565033e+10 2.523049316829436493e+10 9.066731204445414860e-02
1.258925411794166081e+06 8.263324163222264929e+00 -2.111826947643270724e+00 -2.534205236033773012e+00 2.155925515960926686e-01 9.194269025202643497e-04 1.157489891869958456e+03 2.665218970311056637e+03 1.200545230986116849e+03 6.166633088925570679e+10 2.539796711074430847e+10 9.408935492584646898e-02
1.412537544622752583e+06 8.189733206945762234e+00 -2.102881321869888076e+00 -2.533359448755702292e+00 2.159595824846148870e-01 7.328984579182549119e-04 1.035246588205653552e+03 2.383743361575283416e+03 1.074321172688958768e+03 6.149826991713843536e+10 2.556602808286157990e+10 9.763869249640901027e-02
1.584893192461110884e+06 8.116666607004486167e+00 -2.093919553509912213e+00 -2.532520426573096728e+00 2.163315463856718412e-01 5.842131739805043588e-04 9.259154823877998979e+02 2.131999187118538885e+03 9.614276089716137221e+02 6.132961696731425476e+10 2.573468103268576050e+10 1.013198341403992314e-01
1.778279410038919188e+06 8.044118284391373663e+00 -2.084941176475512137e+00 -2.531674644802916596e+00 2.167085282326830231e-01 4.657067429364917621e-04 8.281567120802511681e+02 1.906901299898948537e+03 8.604550967961769175e+02 6.116036710939966583e+10 2.590393089060034943e+10 1.051374072505295576e-01
1.995262314968874678e+06 7.972084189843328339e+00 -2.075945962987625570e+00 -2.530775842337945836e+00 2.170906043713920208e-01 3.712874274021478373e-04 7.408158119172475153e+02 1.705791445174935006e+03 7.701377781693302040e+02 6.099050449174114990e+10 2.607379350825886536e+10 1.090964261934909280e-01
2.238721138568333350e+06 7.900560597396011353e+00 -2.066933718651011276e+00 -2.529856573507438977e+00 2.174778508489145779e-01 2.960289965721856062e-04 6.627263722553245771e+02 1.525983865489133223e+03 6.893433954027289019e+02 6.082001064862768555e+10 2.624428735137232971e+10 1.132021808557225478e-01
2.511886431509572081e+06 7.829542171202532153e+00 -2.057904037182422208e+00 -2.528937140101797265e+00 2.178703540633546154e-01 2.360292660252825449e-04 5.928787107680705049e+02 1.365153681368087746e+03 6.170649567312987074e+02 6.064887656497922516e+10 2.641542143502079010e+10 1.174599213005163428e-01
2.818382931264443323e+06 7.759022937852193103e+00 -2.048856416197195607e+00 -2.528024074721541226e+00 2.182682061889003600e-01 1.881911421660428416e-04 5.303947028959354384e+02 1.221278936291186938e+03 5.524041412898170620e+02 6.047709799704148102e+10 2.658720000295853424e+10 1.218749240548872015e-01
