# z=450
9.633035379408446675e-01 1.047940608925130856e+00
1.014511857851759125e+00 1.156362279284831818e+00
1.068442364409785794e+00 1.270547544775640914e+00
1.125239766524621432e+00 1.392253321114370834e+00
1.185056465696979311e+00 1.531077410229235047e+00
1.248052964949569965e+00 1.677281258772711947e+00
1.314398299496475353e+00 1.831257167890600890e+00
1.384270490306503065e+00 1.992998293021263745e+00
1.457857021777548834e+00 2.163205391617615270e+00
1.535355344803683186e+00 2.342460541230848126e+00
1.616973406584815587e+00 2.526496556487593637e+00
1.702930208600548445e+00 2.713231896588288894e+00
1.793456394245401819e+00 2.910285370016914896e+00
1.888794867702179969e+00 3.165009621971120346e+00
1.989201445714069205e+00 3.433274778187985543e+00
2.094945544004337190e+00 3.715800660540945266e+00
2.206310900185460611e+00 4.042060834039563844e+00
2.323596335097434018e+00 4.401497892562153069e+00
2.447116554618110840e+00 4.788139314186703466e+00
2.577202994097038680e+00 5.219976945608682861e+00
2.714204707678611772e+00 5.674770663776381951e+00
2.858489304900813099e+00 6.204175385171806667e+00
3.010443937082675880e+00 6.770580112932751859e+00
3.170476336147184160e+00 7.465958914422614612e+00
3.339015908667034349e+00 8.205312596387862811e+00
3.516514888068845934e+00 8.975393685782110609e+00
3.703449548087483834e+00 9.643536651089043232e+00
3.900321480726478107e+00 1.034719747485500463e+01
4.107658942153634030e+00 1.128952627771613493e+01
4.326018270143197952e+00 1.238885312696920238e+01
4.555985376867927705e+00 1.354661916881937600e+01
4.798177321046614985e+00 1.470763157704458735e+01
5.053243963665484451e+00 1.579192290574381019e+01
5.321869711716219697e+00 1.713222543367690065e+01
5.604775354629477846e+00 1.887245235826360457e+01
5.902719998331490636e+00 2.070518812721965318e+01
6.216503102113336787e+00 2.273029078141353310e+01
6.546966623778260441e+00 2.495849310349005634e+01
6.894997278823050024e+00 2.730514458810057477e+01
7.261528919715391162e+00 2.972142045181457348e+01
7.647545041651380160e+00 3.194041829464089233e+01
8.054081421516789518e+00 3.427737599844724770e+01
8.482228897133047951e+00 3.693034224765722939e+01
8.933136294245363374e+00 4.025902733552686641e+01
9.408013509106801564e+00 4.376466222597555600e+01
9.908134754929660559e+00 5.048785868121329656e+01
1.043484198091521087e+01 5.803016672779068585e+01
1.098954847303582838e+01 6.746403377721597394e+01
1.157374264623140014e+01 7.908617442094615058e+01
1.218899203819533383e+01 9.520338148117279786e+01
1.283694751546653379e+01 1.153005167809123463e+02
1.351934770311330247e+01 1.385994315434431599e+02
1.423802364989512270e+01 1.643340928225836137e+02
1.499490374142008697e+01 1.929105953504331978e+02
1.579201887448125241e+01 2.274745446237168380e+02
1.663150790645581978e+01 2.691841877002121919e+02
1.751562339438937599e+01 3.120951487216159421e+02
1.844673763916449616e+01 3.535419903665256811e+02
1.942734905097169573e+01 4.330705351416348776e+02
2.046008885316294368e+01 5.396664697998863858e+02
2.154772814247575141e+01 6.322827507591083531e+02
2.269318532457225501e+01 7.831408566401009921e+02
2.389953394484455984e+01 9.795548240137768516e+02
2.517001093549847823e+01 1.196205122511930085e+03
2.650802530104456878e+01 1.441813995986809459e+03
2.791716726550173888e+01 1.740656894204131049e+03
2.940121790585775230e+01 2.203963248242907866e+03
3.096415929763547581e+01 2.700523326652866217e+03
3.261018519978804164e+01 3.177200299277343220e+03
3.434371230759301596e+01 3.827945926267584582e+03
3.616939210374012958e+01 4.535959363688084522e+03
3.809212333941152906e+01 5.795104815911863625e+03
4.011706517884488932e+01 7.241933194790862217e+03
4.224965104264916960e+01 8.961159919263503980e+03
4.449560318701816186e+01 1.137949467716264917e+04
4.686094805796147966e+01 1.508338670368348539e+04
4.935203246175215241e+01 1.959602732512174043e+04
5.197554059498028778e+01 2.473968747888369762e+04
5.473851197990830286e+01 3.474745181680120731e+04
5.764836035325321717e+01 4.482758941850613337e+04
6.071289355907888563e+01 6.141254095847717690e+04
6.394033449917593259e+01 8.116253520600043703e+04
6.733934319714434480e+01 9.921284617001764127e+04
7.091904003538225254e+01 1.460639494386689330e+05
7.468903022733131536e+01 2.006203220067814109e+05
7.865942959064391005e+01 2.384175426397761621e+05
8.284089169042817957e+01 3.808952828017360880e+05
8.724463642540221997e+01 5.039780904085887596e+05
9.188248013366208511e+01 6.765804590595248155e+05
9.676686729884418980e+01 9.546848764589424245e+05
1.019109039417579936e+02 1.213714633805389516e+06
1.073283927870865142e+02 1.275319295784086455e+06
1.130338702995161526e+02 1.340198804282450583e+06
1.190426456886727635e+02 1.408527247094861930e+06
1.253708419875236331e+02 1.480487966360894730e+06
1.320354393144692722e+02 1.579200048087820644e+06
1.390543204352076430e+02 1.695894359229394002e+06
1.464463187466248257e+02 1.818792031389961485e+06
1.542312688114645312e+02 1.994302435162099078e+06
1.624300595793737898e+02 2.193276106230675243e+06
1.710646904371297126e+02 2.402827032547071576e+06
1.801583302384443641e+02 2.558425956766484305e+06
1.897353794717390656e+02 2.714254859861038160e+06
1.998215357326996866e+02 2.878928067311755847e+06
2.104438626772921737e+02 3.096604216755396221e+06
2.216308626402559696e+02 3.325851827798263635e+06
2.334125531139300165e+02 3.567286028573993128e+06
2.458205472926199775e+02 3.824529121706678532e+06
2.588881388986310981e+02 4.109910919946070295e+06
2.726503915175729276e+02 4.410463349087775685e+06
2.871442326826464182e+02 4.749385458625088446e+06
3.024085529603635223e+02 5.161151272628707811e+06
3.184843103035717604e+02 5.594806174236997031e+06
3.354146399517887858e+02 6.051513766983492300e+06
3.532449701737360783e+02 6.669691031836931594e+06
3.720231441626381752e+02 7.330130381515632384e+06
