# z=0
4.452958509942660292e+00 1.034021882768040745e+00
4.818680751749279345e+00 1.224495486815464051e+00
5.214439823643897576e+00 1.430612720445707087e+00
5.642702655603971884e+00 1.653658397624193199e+00
6.106138786986705647e+00 1.910318153563597576e+00
6.607637006871957652e+00 2.190947101569403976e+00
7.150323361079355955e+00 2.495651884947095223e+00
7.737580638104792463e+00 2.959268046162319088e+00
8.373069455440219855e+00 3.460961081760908886e+00
9.060751077716449942e+00 4.002949916674927167e+00
9.804912108903979018e+00 4.584824231617690593e+00
1.061019121248839348e+01 5.214487983276601568e+00
1.148160802617842791e+01 5.900384476232908071e+00
1.242459445138383778e+01 6.934571766231783840e+00
1.344502851250350162e+01 8.053697034723334980e+00
1.454927099708259775e+01 9.211494687400545445e+00
1.574420510523210481e+01 1.020769029235348668e+01
1.703727935546194416e+01 1.128570361222736551e+01
1.843655401437750285e+01 1.245225434990142865e+01
1.995075133965503156e+01 1.373891921393294524e+01
2.158930994948115867e+01 1.543163016751675265e+01
2.336244365736379791e+01 1.726336376038475606e+01
2.528120513905609101e+01 1.872067014367086912e+01
2.735755482845566533e+01 1.985932077738920754e+01
2.960443547193579406e+01 2.109148898183454790e+01
3.203585280583662609e+01 2.242485537103873128e+01
3.466696286001232608e+01 2.386773136917379645e+01
3.751416643163369002e+01 2.698376809143234567e+01
4.059521131814003070e+01 3.070088580860193517e+01
4.392930294660095569e+01 3.418943653627078305e+01
4.753722408908647878e+01 3.667538505860958509e+01
5.144146441028100014e+01 3.936550495702919505e+01
5.566636065486459728e+01 4.227656486146542392e+01
6.023824834850828580e+01 4.530772054040416918e+01
6.518562595809757454e+01 4.856283808808583302e+01
7.053933253446315632e+01 5.208529899506986283e+01
7.633273994493973191e+01 5.589706021704718353e+01
8.260196089401711106e+01 5.944485129099086151e+01
8.938607402876350250e+01 6.306447423989881429e+01
9.672736753219491845e+01 6.698137743887274098e+01
1.046716027230103379e+02 7.121997656554732714e+01
1.132682993048169067e+02 7.568813101658871290e+01
1.225710440429246404e+02 8.025744524556438364e+01
1.326378247928161045e+02 8.520203803139351351e+01
1.435313919624340144e+02 9.055273106594862043e+01
1.553196496614266664e+02 9.634287743191195830e+01
1.680760789755473184e+02 1.003995511258813593e+02
1.818801960046536124e+02 1.045390614610357716e+02
1.968180475194447467e+02 1.090185504859475714e+02
2.129827473265713138e+02 1.138659407083847839e+02
2.304750566855036027e+02 1.189179469269571996e+02
2.494040123951347425e+02 1.241724370768239538e+02
2.698876064652462787e+02 1.298584793987734542e+02
2.920535216095049691e+02 1.360115173462936582e+02
3.160399271446240164e+02 1.424800394473529650e+02
3.419963402568633910e+02 1.491665418322564278e+02
3.700845580044860981e+02 1.564022077983142367e+02
4.004796658657436979e+02 1.642321402440982467e+02
4.333711291190747943e+02 1.712244461779555706e+02
4.689639738585453301e+02 1.786527265074209367e+02
5.074800650062924205e+02 1.866910927671266904e+02
5.491594892883433658e+02 1.953072102417280576e+02
5.942620517944779976e+02 2.040724046584058726e+02
6.430688954508037796e+02 2.135574859872972411e+02
6.958842534998959763e+02 2.238215786632682978e+02
7.530373459124241435e+02 2.349286630211032900e+02
8.148844315513927086e+02 2.450038102035776717e+02
8.818110288809798476e+02 2.551118369124428682e+02
9.542343190625684883e+02 2.660500375786787686e+02
1.032605746417472801e+03 2.767130950381661023e+02
1.117413832466102349e+03 2.845658887081951320e+02
1.209187221084649082e+03 2.930636336615194750e+02
1.308497973761005596e+03 3.022592998570227110e+02
1.415965135490624789e+03 3.192721837760676067e+02
1.532258593540004085e+03 3.796574227772488257e+02
1.658103253131078645e+03 4.450021117553911836e+02
1.794283556075278511e+03 5.587181281999244220e+02
1.941648370523785616e+03 6.602707602358678969e+02
2.101116282313799275e+03 7.582679575409161998e+02
2.273681320893979773e+03 8.767094457226788791e+02
2.460419155521117773e+03 9.833227207464249204e+02
2.662493800351508526e+03 1.075241130691318176e+03
2.881164870222607078e+03 1.174655329232629583e+03
3.117795432353277647e+03 1.264731402226148475e+03
3.373860502905523390e+03 1.362205438455744570e+03
3.650956241370263797e+03 1.465288314928357750e+03
3.950809900089619077e+03 1.576196821428992280e+03
4.275290590935122054e+03 1.707919850801660004e+03
4.626420936255067318e+03 1.882960203950902951e+03
5.006389676716127724e+03 2.030203829575372083e+03
5.417565314629203385e+03 2.118063831541465788e+03
5.862510877803893891e+03 2.213139790452235047e+03
6.343999895960894719e+03 2.317719909658310371e+03
6.865033689289825816e+03 2.432379650353133002e+03
7.428860076919330822e+03 2.557119938869626367e+03
8.038993621916947632e+03 2.727718621516571147e+03
8.699237539014307913e+03 2.899989950187125942e+03
9.413707401617544747e+03 3.070215770986296320e+03
1.018685679587844061e+04 3.254422267477147670e+03
1.102350508173899470e+04 3.372394729559986445e+03
1.192886743399504485e+04 3.444522406817269257e+03
1.290858735063780296e+04 3.522573942507981883e+03
1.396877183111088561e+04 3.649462897417191016e+03
1.511602944376371852e+04 3.800295146113257488e+03
1.635751151979127462e+04 3.936474879783652341e+03
1.770095673043905117e+04 3.995947494892760460e+03
1.915473932534168125e+04 4.060304606022938515e+03
2.072792133268436010e+04 4.129947377665372187e+03
2.243030904657259453e+04 4.169932877861581801e+03
2.427251415371910844e+04 4.169651304021796022e+03
2.626601988047590930e+04 4.169346604474530068e+03
2.842325257253363816e+04 4.155624136300689315e+03
3.075765915347356349e+04 4.132223641302004580e+03
3.328379094500397332e+04 4.106901259658476192e+03
3.601739437136658671e+04 4.079787705364425619e+03
3.897550911331127281e+04 4.052141235156660969e+03
